%time,field.x,field.y,field.theta
535940000000,39.351162017,2.77723907896,-2.29095976529
536040000000,39.2804667102,2.6970102392,-2.30971749875
536141000000,39.2325267247,2.64424810974,-2.32114872882
536240000000,39.1595493922,2.56608875931,-2.33647912659
536340000000,39.1102919437,2.51455432814,-2.34405672973
536440000000,39.0358083347,2.43782835482,-2.35101900389
536540000000,38.9855292658,2.38729142474,-2.34755501257
536640000000,38.9104363977,2.31116197473,-2.33647511045
536741000000,38.8609130575,2.25988315373,-2.32639677224
536841000000,38.7876788442,2.18196488463,-2.30925749848
536940000000,38.7396317044,2.12930049231,-2.29674261033
537041000000,38.6688211247,2.04917358614,-2.27788020579
537140000000,38.6224393342,1.99503671107,-2.26631692665
537240000000,38.5539892725,1.91288358264,-2.25077051463
537340000000,38.5090123056,1.85757391476,-2.24291909612
537441000000,38.4422255359,1.77406222676,-2.23535575922
537540000000,38.3984178146,1.71782302361,-2.23846506662
537640000000,38.33237487,1.63372201838,-2.24918501579
537740000000,38.2877701092,1.57811172864,-2.25913038603
537840000000,38.2197483882,1.49560365821,-2.2761643841
537940000000,38.173591292,1.44127501249,-2.28872007587
538040000000,38.1030679897,1.36089497793,-2.30773363287
538140000000,38.0552256578,1.30804429789,-2.31950594431
538241000000,37.9823554451,1.22978515489,-2.33549228543
538341000000,37.9331335973,1.17821672828,-2.34380410031
538440000000,37.8586174146,1.10152246282,-2.35246190284
538540000000,37.8082402301,1.05108346133,-2.35011039696
538640000000,37.7329071816,0.975191562896,-2.34022144327
538740000000,37.6831808304,0.924109564179,-2.33059477855
538840000000,37.6096037723,0.846514888963,-2.31385932891
538940000000,37.5613139382,0.794072944586,-2.3013251791
539040000000,37.4901459773,0.714263353855,-2.28213413499
539141000000,37.4435443883,0.660315595232,-2.27005787769
539240000000,37.374826683,0.578386378533,-2.25337185087
539340000000,37.3297318144,0.523172828857,-2.24431776286
539440000000,37.262922102,0.439679676222,-2.2339924176
539540000000,37.2192464358,0.383338133664,-2.23472009254
539640000000,37.1536365396,0.298898695594,-2.24274312126
539740000000,37.1094181025,0.242980698454,-2.25168210947
539840000000,37.0420539423,0.159934738567,-2.2677310342
539941000000,36.9963640784,0.10521255124,-2.28009120188
540040000000,36.9265299998,0.024233043437,-2.29944926288
540140000000,36.8791114509,-0.0289981671821,-2.31204898731
540240000000,36.8067640178,-0.107740579787,-2.32995198299
540339000000,36.7577884285,-0.159542909845,-2.34027641923
540440000000,36.6834018894,-0.236362584576,-2.35337395167
540540000000,36.6333290126,-0.287105087774,-2.35842863044
540640000000,36.5573446843,-0.362342671205,-2.35689661139
540741000000,36.5067052229,-0.412519710177,-2.35001614578
540840000000,36.4315335302,-0.488571006022,-2.33598095655
540940000000,36.3820457348,-0.539884154622,-2.3259846427
541040000000,36.3574948142,-0.565725603167,-2.3209864813
541140000000,36.357494829,-0.565725587295,-2.32098648228
541241000000,36.3574948511,-0.565725563664,-2.32098648237
541340000000,36.3574948658,-0.565725547922,-2.32098648236
541440000000,36.3574948879,-0.565725524309,-2.32098648234
541540000000,36.3574949026,-0.565725508567,-2.32098648233
541640000000,36.3574949247,-0.565725484955,-2.32098648231
541740000000,36.3574949394,-0.565725469213,-2.32098648229
541840000000,36.3574949614,-0.5657254456,-2.32098648227
541940000000,36.3574949761,-0.565725429858,-2.32098648226
542040000000,36.3574949982,-0.565725406245,-2.32098648224
542140000000,36.3214570938,-0.60400321168,-2.3489304326
542240000000,36.2449452506,-0.678689596675,-2.40578875149
542340000000,36.1916323048,-0.726012231993,-2.44369429736
542440000000,36.108396768,-0.793123808051,-2.5005526161
542540000000,36.0508452563,-0.835189536144,-2.53845816187
542640000000,35.9616500174,-0.894150801472,-2.5942635322
542740000000,35.9004500753,-0.930706740408,-2.62938928794
542840000000,35.8063910872,-0.981555891658,-2.67959917015
542940000000,35.7423522584,-1.0128749895,-2.71057183782
543041000000,35.6446047532,-1.05621872115,-2.75416270958
543140000000,35.5784640622,-1.08281479881,-2.78030525116
543240000000,35.4780571254,-1.11958715323,-2.81624184256
543340000000,35.4104454905,-1.14218544853,-2.83689599246
543440000000,35.3082384437,-1.17361663397,-2.86413391674
543540000000,35.2396743989,-1.19313696991,-2.87830291349
543641000000,35.1363854258,-1.22081272738,-2.89448181412
543740000000,35.0671882822,-1.23794907469,-2.89541191094
